woolbird 	sheep
halibut 	world’s largest flatfish, diamond-shaped, with one dark side and one light
barnacle 	an arthropod of coastal waters that attaches itself to rocks and shells
eyas 	unfledged falcon or other bird of prey
wapiti 	elk
cub 	a young bear, lion, fox, wolf, or other wild animal
lamb 	a young sheep
whitecoat 	white-furred seal pup
progeny 	the young animals or plants produced by a particular parent
dibatag 	Somali antelope with recurved horns
pichiciego 	small South American armadillo
froghopper 	leaping and spitting insect
reebok 	small South African antelope
hellbender 	large flat North American aquatic salamander
adzebill 	prehistoric flightless bird of New Zealand
nestling 	a baby bird that has not learned to fly
grilse 	salmon first returning to the river from the sea
litter 	a group of baby cats, dogs, or other animals that are born at the same time
sea_otter 	a furry marine mammal of the north Pacific that eats sea urchins, mollusks, crustaceans, and fish
grison 	weasel-like tropical American gray and black carnivore
eel 	long-bodied fishes mostly living in shallow waters
axolotl 	salamander dwelling in mountainous lakes
hatchling 	a baby bird or animal that has just come out of the egg
duiker 	small African antelope
tilefish 	a small, spiny fish of tropical and temperate oceans, preferring coral reefs and sandy areas
yelt 	a young sow
ratel 	honey-eating Old World badger
clownfish 	a small tropical fish of the Indian and Pacific Oceans, with orange and white stripes
onager 	Asiatic wild ass
havier 	castrated deer
limpkin 	Caribbean crane-like bird
manatee 	a large herbivorous sea mammal, related to the dugong, with rounded flippers
earwig 	a small insect; to bias; to pester with demands; to eavesdrop
quahog 	a round, hard-shelled clam of the US Atlantic coast
widgeon 	freshwater duck
brachet 	whelp; brat; bitch hound
quokka 	short-tailed wallaby
amberjack 	spiny-finned Atlantic sport fish
chital 	Indian spotted deer
anchovy 	a small, oily fish of the Atlantic and Pacific, providing food for many fish, marine mammals, and birds
meerkat 	small long-tailed African ground squirrel or mongoose
xiphias 	swordfish
accentor 	songbird
iguana 	large tropical New World lizard
murre 	white-breasted North Atlantic seabird
malbrouck 	arboreal monkey of West Africa
prion 	small Antarctic petrel
chiru 	straight-horned Tibetan antelope
bullock 	an ox or castrated bull
cuttlefish 	a squid-like creature belonging to the mollusk family
yowie 	a little ewe
raad 	electric catfish
aye-aye 	nocturnal lemur-like animal of Madagascar
adjutant 	enormous Indian stork
johndory 	a coastal fish with an eyelike black mark on each side, and long, spiny dorsal fins
haddock 	a gray bottom-dwelling fish endemic to the North Atlantic Ocean
yellowfin_tuna 	a large, fast-moving fish of the open ocean, with yellow dorsal fins
graphiure 	African rodent with pencil-thin tail
gerenuk 	long-necked antelope with large eyes
tabanid 	blood-sucking insect; gad-fly
zonure 	small South African lizard
agouti 	tropical rabbit-sized rodent
uintathere 	extinct Pleistocene hoofed herbivore
brach 	female hunting hound
caple 	a horse
brood 	a group of young birds who all have the same mother and were born at the same time
conure 	tropical parrot-like bird of Central and South America
barasingha 	deer dwelling in swamps of India
dunnart 	mouse-like marsupial with pointed snout
gannet 	large white Atlantic seabird
springhare 	South African jumping hare
ibex 	wild mountain goat with recurved horns
solenodon 	large Caribbean ratlike insectivore with long snout
aardvark 	medium-sized, burrowing, nocturnal mammal native to Africa
quickhatch 	wolverine
quinnat 	the king salmon
galah 	blue-gray Australian cockatoo
binturong 	civet of southeastern Asia with long prehensile tail
steer 	a young male cow that has had its sex organs removed
gelada 	long-haired Ethiopian baboon
phoenicopter 	flamingo
lorikeet 	brightly coloured southeast Asian parrot
viscacha 	South American burrowing rodent
tahr 	wild Asian goat with shaggy reddish coat
oyster 	a two-shelled mollusk eaten as a delicacy around the world
numbat 	termite-eating anteater-like marsupial with white stripes
seahorse 	a small, upright-swimming fish (it really is a fish) with a horse-like head
porpoise 	a small toothed marine mammal, related to dolphins but with different-shaped nose and teeth
guenon 	small, slender bearded African monkey
coelacanth 	lobe-finned fish long thought to be extinct
vireo 	olive-gray insectivorous American bird
stirk 	yearling ox or cow; pasture for yearlings
isopods 	crustaceans, seagoing relatives of sowbugs and pillbugs
trumpetfish 	a long, thin fish of the tropical western Atlantic, that often dangles or swims vertically to blend in with its surroundings
acipenser 	sturgeon
